Service attente;Gare;Trigramme
Distributeur d'Histoires Courtes;Lille Europe;LEW
Work & Station;Montfort-l'Amaury - Méré;MLM
Work & Station;Saint-Quentin en Yvelines - Montigny-le-Bretonneux;SQY
Work & Station;Neuilly Porte Maillot;NPT
Piano en libre service;Chambéry - Challes-les-Eaux;CRL
Work & Station;Bibliothèque François Mitterrand;BFM
Work & Station;Magenta;MAG
Work & Station;Calais - Fréthun;FHS
Distributeur d'Histoires Courtes;Annecy;ANY
Piano en libre service;Valenciennes;VSN
Work & Station;Rosny Bois Perrier;RBI
Piano en libre service;Limoges Bénédictins;LIM
Piano en libre service;Gare Montparnasse;PMP
Distributeur d'Histoires Courtes;Toulouse Matabiau;TSE
Piano en libre service;Nancy;NCY
Piano en libre service;Chantilly - Gouvieux;CLY
Baby-foot;Monaco;MCO
Piano en libre service;Lyon Saint-Exupéry TGV;SXA
Piano en libre service;Agen;AGN
Piano en libre service;Dijon;DJV
Piano en libre service;Aix-en-Provence TGV;AXV
Work & Station;Nîmes;NMS
Rechargement portables et tablettes;Belfort - Montbéliard TGV;BFB
Distributeur d'Histoires Courtes;Trouville - Deauville;TDE
Piano en libre service;Nevers;NVS
Rechargement portables et tablettes;Massy TGV;MPW
Distributeur d'Histoires Courtes;La Roche-sur-Yon;LRY
Rechargement portables et tablettes;Persan - Beaumont;PEB
Distributeur d'Histoires Courtes;Nice;NIC
Rechargement portables et tablettes;Blois - Chambord;BLO
Work & Station;Montpellier Sud de France;MSF
Rechargement portables et tablettes;Nîmes Pont-du-Gard;NIM
Rechargement portables et tablettes;Millau;MAU
Rechargement portables et tablettes;Montauban Ville Bourbon;MBN
Rechargement portables et tablettes;Saint-Chély-d'Apcher;SYH
Rechargement portables et tablettes;Langogne;LGG
Power & Station;Rouen Rive Droite;RRD
Piano en libre service;Angers Saint-Laud;ASL
Piano en libre service;Lyon Part Dieu;LYD
Piano en libre service;Tours;TRS
Work & Station;Vert Galant;VGL
Work & Station;Cergy Saint-Christophe;CYC
