UIC;Nom de la gare;Adresse;CodePostal;Ville;Accessibilité
87171553;Épernay;Place de la gare;51200;Epernay;Écrans d'information en gare et/ou sur les quais
87478107;Saint-Malo;Avenue Anita CONTI;35400;Saint-Malo;Écrans d'information en gare et/ou sur les quais
87481705;Saint-Nazaire;place Pierre Sémard;44600;St Nazaire;Fauteuil roulant à disposition
87481705;Saint-Nazaire;place Pierre Sémard;44600;St Nazaire;Présence du personnel
87571000;Tours;Place du Général Leclerc;37000;Tours;Assistance proposée pour accéder aux quais et monter / descendre du train
87571216;Vendôme - Villiers-sur-Loir;Avenue des Cités Unies de l'Europe;41100;Vendome;Présence du personnel
87574004;Blois Chambord;70, boulevard Daniel DUPUIS;41000;Blois;Présence du personnel
87594002;Brive-la-Gaillarde;Avenue Jean Jaurès;19100;Brive;Information sonore en gare et/ou sur les quais
87594002;Brive-la-Gaillarde;Avenue Jean Jaurès;19100;Brive;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87611244;Montauban Ville Bourbon;Place de la gare;82000;Montauban;Toilettes
87611244;Montauban Ville Bourbon;Place de la gare;82000;Montauban;Toilettes adaptées aux personnes en fauteuil roulant
87615286;Carcassonne;1 bd Maréchal Joffre;11000;Carcassonne;Bande d'éveil de vigilance sur les quais
87615286;Carcassonne;1 bd Maréchal Joffre;11000;Carcassonne;Assistance proposée pour accéder aux quais et monter / descendre du train
87641001;Montluçon;Avenue Marx Dormoy;3100;Montlucon;Toilettes
87671339;Lourdes;33 avenue de la gare;65100;Lourdes;Bande d'éveil de vigilance sur les quais
87696146;Cosne-sur-Loire;Place de la Gare;58200;Cosne Sur Loire;Écrans d'information en gare et/ou sur les quais
87281071;Calais - Fréthun;;62185;Gare TGV de Calais Frethun;Écrans d'information en gare et/ou sur les quais
87111849;Marne-la-Vallée Chessy;Place des Passagers du Vent;77111;Chessy;Information sonore en gare et/ou sur les quais
87113001;Paris Est;Place du 11 novembre 1918;75010;Paris;Toilettes
87142109;Lorraine TGV;Route départementale 910;57420;Louvigny;Boucle à induction magnétique
87164780;Stade de France Saint-Denis;;93200;Saint-Denis;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87171009;Reims;Place de la gare;51100;Reims;Fauteuil roulant à disposition
87171553;Épernay;Place de la gare;51200;Epernay;Toilettes
87172007;Charleville-Mézières;Place de la gare;8000;Charleville-Mezieres;Boucle à induction magnétique
87175042;Bar-le-Duc;Place de la république;55000;Bar Le Duc;Toilettes adaptées aux personnes en fauteuil roulant
87182063;Mulhouse;10 avenue du Général Leclerc;68100;Mulhouse;Toilettes
87185009;Vesoul;Avenue de la gare;70000;Vesoul;Écrans d'information en gare et/ou sur les quais
87193003;Forbach;Place Robert Schuman;57600;Forbach;Boucle à induction magnétique
87212027;Strasbourg;20 Place de la gare;67000;Strasbourg;Fauteuil roulant à disposition
87223263;Lille Europe;1, Place François Mitterrand;59777;Euralille;Information sonore en gare et/ou sur les quais
87271007;Paris Gare du Nord;112, rue de Maubeuge;75010;Paris;Écrans d'information en gare et/ou sur les quais
87276006;Creil;Place Charles De Gaulle;60100;Creil;Fauteuil roulant à disposition
87276691;Compiègne;Place de la gare;60200;Compiègne;Assistance proposée pour accéder aux quais et monter / descendre du train
87300863;Besançon Franche-Comté TGV;RD1 - Lieu-dit Grand-Bois Le Pasquier;25870;Auxon;Information sonore en gare et/ou sur les quais
87313049;Longueau;Route de Boves;80330;Longueau;Toilettes
87345025;Lens;Place du Général de Gaulle;62300;Lens;Présence du personnel
87391003;Paris Montparnasse;17, Boulevard de Vaugirard;75015;Paris Cedex 15;Information sonore en gare et/ou sur les quais
87393033;Invalides;2, rue Robert Esnault-Pelterie;75007;Paris;Bande d'éveil de vigilance sur les quais
87393702;Massy TGV;7, Avenue Carnot;91300;Massy;Boucle à induction magnétique
87393702;Massy TGV;7, Avenue Carnot;91300;Massy;Fauteuil roulant à disposition
87394007;Chartres;8 pl Pierre Sémard;28000;Chartres;Information sonore en gare et/ou sur les quais
87444265;Lisieux;Place Pierre Sémard;14100;Lisieux;Information sonore en gare et/ou sur les quais
87444711;Alençon;Place de la résistance;61000;Alencon;Bande d'éveil de vigilance sur les quais
87447003;Saint-Lô;Place de la Gare;50000;Saint-Lo;Bande d'éveil de vigilance sur les quais
87447243;Carentan;Boulevard de Verdun;50500;Carentan;Boucle à induction magnétique
87447680;Granville;Place Pierre Semard;50400;Granville;Assistance proposée pour accéder aux quais et monter / descendre du train
87471003;Rennes;19, Place de la gare;35005;Rennes;Assistance proposée pour accéder aux quais et monter / descendre du train
87473207;Guingamp;Place de la gare;22200;Guingamp;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87478404;Laval;Place de la gare;53000;Laval;Toilettes adaptées aux personnes en fauteuil roulant
87481705;Saint-Nazaire;place Pierre Sémard;44600;St Nazaire;Assistance proposée pour accéder aux quais et monter / descendre du train
87484006;Angers Saint-Laud;1, esplanade de la gare;49100;Angers;Boucle à induction magnétique
87485227;Surgères;1 rue Julia et Maurice Marcou;17700;Surgères;Information sonore en gare et/ou sur les quais
87576009;Vierzon;5 Avenue Pierre Sémard;18100;Vierzon;Toilettes
87594002;Brive-la-Gaillarde;Avenue Jean Jaurès;19100;Brive;Assistance proposée pour accéder aux quais et monter / descendre du train
87595009;Périgueux;11 rue Denis Papin;24000;Périgueux;Assistance proposée pour accéder aux quais et monter / descendre du train
87595009;Périgueux;11 rue Denis Papin;24000;Périgueux;Toilettes
87645481;Murat;Gare SNCF;15300;Murat;Fauteuil roulant à disposition
87671008;Tarbes;25, Avenue Marechal Joffre;65000;Tarbes;Toilettes adaptées aux personnes en fauteuil roulant
87671016;Mont-de-Marsan;15 Avenue de la Laïcité;40000;Mont-de-Marsan;Information sonore en gare et/ou sur les quais
87671339;Lourdes;33 avenue de la gare;65100;Lourdes;Toilettes adaptées aux personnes en fauteuil roulant
87672253;Orthez;Avenue de la gare;64300;Orthez;Assistance proposée pour accéder aux quais et monter / descendre du train
87677005;Hendaye;Bd Général de Gaulle;64700;Hendaye;Présence du personnel
87683003;Sens;Place François Mitterrand;89100;Sens;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87694000;Le Creusot;Avenue de la Gare;71200;LE CREUSOT;Bande d'éveil de vigilance sur les quais
87694109;Le Creusot - Montceau-les-Mines - Montchanin TGV;Avenue de l'Europe;71210;Ecuisses;Information sonore en gare et/ou sur les quais
87696146;Cosne-sur-Loire;Place de la Gare;58200;Cosne Sur Loire;Assistance proposée pour accéder aux quais et monter / descendre du train
87696195;La Charité-sur-Loire;Avenue de la Gare;58400;La Charité;Bande d'éveil de vigilance sur les quais
87713040;Dijon;31, cour de la gare;21000;Dijon;Présence du personnel
87713115;Les Laumes Alésia;5 avenue de la Gare;21150;Venaray Les Laumes;Fauteuil roulant à disposition
87713131;Montbard;Place Henri Vincenot;21500;Montbard;Assistance proposée pour accéder aux quais et monter / descendre du train
87713313;Genlis;Rue de la Gare;21110;Genlis;Toilettes
87713859;Is-sur-Tille;Rue du Lac;21120;Is Sur Tille;Fauteuil roulant à disposition
87718239;Lons-le-Saunier;5 boulevard GAMBETTA;39000;Lons Le Saunier;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87725689;Mâcon;1 avenue de la Gare;71000;Mâcon;Écrans d'information en gare et/ou sur les quais
87725705;Mâcon Loché TGV;142, rue de Pouilly Loché;71000;Loché;Toilettes adaptées aux personnes en fauteuil roulant
87725705;Mâcon Loché TGV;142, rue de Pouilly Loché;71000;Loché;Boucle à induction magnétique
87726000;Saint-Étienne Châteaucreux;2, rue Esplanade de France;42000;Saint Etienne;Boucle à induction magnétique
87734269;Brioude;Gare SNCF de Brioude;43100;Brioude;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87734319;Langeac;Gare SNCF de Langeac;43300;Langeac;Assistance proposée pour accéder aux quais et monter / descendre du train
87734871;Massiac - Blesle;Place de Faura;15500;Massiac;Assistance proposée pour accéder aux quais et monter / descendre du train
87765008;Avignon Centre;Boulevard St Roch;84000;Avignon Cedex;Boucle à induction magnétique
87775007;Nîmes;1, Boulevard Sergent Triaire;30000;Nîmes cedex;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87781005;Béziers;14bis boulevard de Verdun;34500;Beziers;Boucle à induction magnétique
87171926;Champagne-Ardenne TGV;Rond-Point de L'Europe;51430;Bezannes;Écrans d'information en gare et/ou sur les quais
87171926;Champagne-Ardenne TGV;Rond-Point de L'Europe;51430;Bezannes;Boucle à induction magnétique
87184002;Belfort;8, Avenue Wilson;90000;Belfort;Fauteuil roulant à disposition
87191007;Thionville;10 place de la gare;57100;Thionville;Fauteuil roulant à disposition
87192039;Metz Ville;1 Place du Général de Gaulle;57000;Metz;Fauteuil roulant à disposition
87223263;Lille Europe;1, Place François Mitterrand;59777;Euralille;Toilettes
87271007;Paris Gare du Nord;112, rue de Maubeuge;75010;Paris;Information sonore en gare et/ou sur les quais
87276055;Ermont - Eaubonne;;95120;Ermont;Écrans d'information en gare et/ou sur les quais
87281006;Dunkerque;Place de la gare;59140;Dunkerque;Écrans d'information en gare et/ou sur les quais
87286005;Lille Flandres;Place des Buisses;59000;Lille;Présence du personnel
87286542;Tourcoing;11 Rue Pierre Sémard;59200;Tourcoing;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87300863;Besançon Franche-Comté TGV;RD1 - Lieu-dit Grand-Bois Le Pasquier;25870;Auxon;Fauteuil roulant à disposition
